"gene","in_EMS","in_RPL"
"ABCB6",TRUE,FALSE
"ADAMTS19",TRUE,FALSE
"ALOX5AP",TRUE,FALSE
"ALOXE3",TRUE,FALSE
"ANAPC7",TRUE,FALSE
"ANGPTL1",TRUE,FALSE
"APBA3",TRUE,FALSE
"APOL1",TRUE,FALSE
"ARHGEF9",TRUE,FALSE
"ARID1B",TRUE,FALSE
"ASB1",TRUE,FALSE
"ASS1",TRUE,FALSE
"ATP8B4",TRUE,TRUE
"C8orf4",TRUE,FALSE
"C9orf38",TRUE,FALSE
"CAP2",TRUE,FALSE
"CCL20",TRUE,FALSE
"CCNDBP1",TRUE,FALSE
"CDRT4",TRUE,FALSE
"CNP",TRUE,FALSE
"COQ4",TRUE,FALSE
"COX6A2",TRUE,FALSE
"CR1",TRUE,FALSE
"CRYM",TRUE,FALSE
"CSF3",TRUE,FALSE
"CTSB",TRUE,FALSE
"CTSZ",TRUE,FALSE
"CTXN1",TRUE,FALSE
"DDX43",TRUE,FALSE
"DDX46",TRUE,FALSE
"DNAI2",TRUE,FALSE
"DOCK5",TRUE,FALSE
"DTD1",TRUE,FALSE
"DTNB",TRUE,FALSE
"DUSP23",TRUE,FALSE
"ENTPD3",TRUE,FALSE
"FBN1",TRUE,FALSE
"FBXL16",TRUE,FALSE
"FBXO46",TRUE,FALSE
"FGF9",TRUE,FALSE
"FLII",TRUE,FALSE
"FYB",TRUE,FALSE
"GC",TRUE,FALSE
"GFM1",TRUE,FALSE
"GNAQ",TRUE,FALSE
"GPR125",TRUE,FALSE
"GPR37",TRUE,FALSE
"GPR65",TRUE,FALSE
"GSTT1",TRUE,FALSE
"HAVCR1",TRUE,FALSE
"HBQ1",TRUE,FALSE
"HGFAC",TRUE,FALSE
"HIST1H2BH",TRUE,FALSE
"HLTF",TRUE,FALSE
"IGF2",TRUE,FALSE
"ILVBL",TRUE,FALSE
"IMPACT",TRUE,FALSE
"INA",TRUE,FALSE
"KCNK15",TRUE,FALSE
"KCTD14",TRUE,FALSE
"LAPTM4B",TRUE,FALSE
"LCK",TRUE,FALSE
"LIF",TRUE,FALSE
"LOC554206",TRUE,FALSE
"LPXN",TRUE,FALSE
"LRIG2",TRUE,FALSE
"LRRC25",TRUE,FALSE
"LRRFIP2",TRUE,FALSE
"LYZ",TRUE,FALSE
"MADD",TRUE,FALSE
"MAGEB3",TRUE,FALSE
"MAPRE2",TRUE,FALSE
"MEIS3",TRUE,FALSE
"MICAL1",TRUE,FALSE
"MLANA",TRUE,FALSE
"MRPS7",TRUE,FALSE
"NNAT",TRUE,FALSE
"NUDT6",TRUE,FALSE
"NXPH2",TRUE,FALSE
"OCLM",TRUE,FALSE
"OR2M4",TRUE,FALSE
"OR5J2",TRUE,FALSE
"P2RX2",TRUE,FALSE
"PEF1",TRUE,FALSE
"PLA2G2A",TRUE,FALSE
"PMPCB",TRUE,FALSE
"PPM1M",TRUE,FALSE
"PROS1",TRUE,FALSE
"PVRL3",TRUE,FALSE
"RALGDS",TRUE,FALSE
"RANBP9",TRUE,FALSE
"RARRES1",TRUE,FALSE
"RBBP4",TRUE,FALSE
"RNF187",TRUE,FALSE
"RORB",TRUE,FALSE
"RPL6",TRUE,FALSE
"RTN2",TRUE,FALSE
"S100A1",TRUE,FALSE
"SIPA1L1",TRUE,FALSE
"SLC17A3",TRUE,FALSE
"SLC30A5",TRUE,FALSE
"SLMO1",TRUE,FALSE
"SSX4",TRUE,FALSE
"STAP2",TRUE,FALSE
"SULT1A2",TRUE,FALSE
"SYP",TRUE,FALSE
"THAP3",TRUE,FALSE
"TJP3",TRUE,FALSE
"TMEM147",TRUE,FALSE
"TMEM45B",TRUE,FALSE
"TNFRSF13C",TRUE,FALSE
"TNFRSF1B",TRUE,FALSE
"TNFRSF9",TRUE,FALSE
"TNNT3",TRUE,FALSE
"TRAF4",TRUE,FALSE
"TREH",TRUE,FALSE
"TSPAN6",TRUE,FALSE
"UGDH",TRUE,FALSE
"VDR",TRUE,FALSE
"WDR25",TRUE,FALSE
"WDR74",TRUE,FALSE
"YWHAE",TRUE,FALSE
"ZNF460",TRUE,FALSE
"ZNF483",TRUE,FALSE
"ZNF510",TRUE,FALSE
"ZNF521",TRUE,FALSE
"ZRANB1",TRUE,FALSE
