"sample_id","dataset","platform","title"
"GSM572747","GSE23339","GPL6102","endometrioma, patient 19"
"GSM572748","GSE23339","GPL6102","endometrioma, patient 2"
"GSM572749","GSE23339","GPL6102","endometrioma, patient 6"
"GSM572750","GSE23339","GPL6102","endometrioma, patient 7"
"GSM572751","GSE23339","GPL6102","endometrioma, patient 9"
"GSM572752","GSE23339","GPL6102","control endometrium, patient 12"
"GSM572753","GSE23339","GPL6102","control endometrium, patient 18"
"GSM572754","GSE23339","GPL6102","control endometrium, patient 20"
"GSM572755","GSE23339","GPL6102","control endometrium, patient 24"
"GSM572756","GSE23339","GPL6102","control endometrium, patient 25"
"GSM572757","GSE23339","GPL6102","control endometrium, patient 4"
"GSM572758","GSE23339","GPL6102","endometrioma, patient M2"
"GSM572759","GSE23339","GPL6102","endometrioma, patient M3"
"GSM572760","GSE23339","GPL6102","endometrioma, patient M4"
"GSM572761","GSE23339","GPL6102","control endometrium, patient 1"
"GSM572762","GSE23339","GPL6102","control endometrium, patient 3"
"GSM572763","GSE23339","GPL6102","endometrioma, patient M1"
"GSM572764","GSE23339","GPL6102","control endometrium, patient 32"
"GSM572765","GSE23339","GPL6102","endometrioma, patient 14"
"GSM1256653","GSE51981","GPL570","123"
"GSM1256654","GSE51981","GPL570","118"
"GSM1256655","GSE51981","GPL570","103"
"GSM1256656","GSE51981","GPL570","132"
"GSM1256657","GSE51981","GPL570","119"
"GSM1256658","GSE51981","GPL570","133"
"GSM1256659","GSE51981","GPL570","134"
"GSM1256660","GSE51981","GPL570","104"
"GSM1256661","GSE51981","GPL570","121"
"GSM1256662","GSE51981","GPL570","135"
"GSM1256663","GSE51981","GPL570","108"
"GSM1256664","GSE51981","GPL570","109"
"GSM1256665","GSE51981","GPL570","136"
"GSM1256666","GSE51981","GPL570","102"
"GSM1256667","GSE51981","GPL570","122"
"GSM1256668","GSE51981","GPL570","137"
"GSM1256669","GSE51981","GPL570","138"
"GSM1256670","GSE51981","GPL570","139"
"GSM1256671","GSE51981","GPL570","140"
"GSM1256672","GSE51981","GPL570","94"
"GSM1256673","GSE51981","GPL570","110"
"GSM1256674","GSE51981","GPL570","95"
"GSM1256675","GSE51981","GPL570","90"
"GSM1256676","GSE51981","GPL570","141"
"GSM1256677","GSE51981","GPL570","89"
"GSM1256678","GSE51981","GPL570","105"
"GSM1256679","GSE51981","GPL570","106"
"GSM1256680","GSE51981","GPL570","107"
"GSM1256681","GSE51981","GPL570","120"
"GSM1256682","GSE51981","GPL570","78"
"GSM1256683","GSE51981","GPL570","100"
"GSM1256684","GSE51981","GPL570","79"
"GSM1256685","GSE51981","GPL570","72"
"GSM1256686","GSE51981","GPL570","82"
"GSM1256687","GSE51981","GPL570","124"
"GSM1256688","GSE51981","GPL570","91"
"GSM1256689","GSE51981","GPL570","80"
"GSM1256690","GSE51981","GPL570","96"
"GSM1256691","GSE51981","GPL570","73"
"GSM1256692","GSE51981","GPL570","92"
"GSM1256693","GSE51981","GPL570","74"
"GSM1256694","GSE51981","GPL570","97"
"GSM1256695","GSE51981","GPL570","125"
"GSM1256696","GSE51981","GPL570","130"
"GSM1256697","GSE51981","GPL570","142"
"GSM1256698","GSE51981","GPL570","81"
"GSM1256699","GSE51981","GPL570","111"
"GSM1256700","GSE51981","GPL570","98"
"GSM1256701","GSE51981","GPL570","126"
"GSM1256702","GSE51981","GPL570","75"
"GSM1256703","GSE51981","GPL570","113"
"GSM1256704","GSE51981","GPL570","143"
"GSM1256705","GSE51981","GPL570","85"
"GSM1256706","GSE51981","GPL570","76"
"GSM1256707","GSE51981","GPL570","114"
"GSM1256708","GSE51981","GPL570","88"
"GSM1256709","GSE51981","GPL570","112"
"GSM1256710","GSE51981","GPL570","131"
"GSM1256711","GSE51981","GPL570","144"
"GSM1256712","GSE51981","GPL570","127"
"GSM1256713","GSE51981","GPL570","83"
"GSM1256714","GSE51981","GPL570","145"
"GSM1256715","GSE51981","GPL570","93"
"GSM1256716","GSE51981","GPL570","128"
"GSM1256717","GSE51981","GPL570","129"
"GSM1256718","GSE51981","GPL570","77"
"GSM1256719","GSE51981","GPL570","115"
"GSM1256720","GSE51981","GPL570","1"
"GSM1256721","GSE51981","GPL570","21"
"GSM1256722","GSE51981","GPL570","2"
"GSM1256723","GSE51981","GPL570","3"
"GSM1256724","GSE51981","GPL570","22"
"GSM1256725","GSE51981","GPL570","4"
"GSM1256726","GSE51981","GPL570","23"
"GSM1256727","GSE51981","GPL570","24"
"GSM1256728","GSE51981","GPL570","27"
"GSM1256729","GSE51981","GPL570","5"
"GSM1256730","GSE51981","GPL570","25"
"GSM1256731","GSE51981","GPL570","6"
"GSM1256732","GSE51981","GPL570","28"
"GSM1256733","GSE51981","GPL570","7"
"GSM1256734","GSE51981","GPL570","8"
"GSM1256735","GSE51981","GPL570","56"
"GSM1256736","GSE51981","GPL570","57"
"GSM1256737","GSE51981","GPL570","58"
"GSM1256738","GSE51981","GPL570","59"
"GSM1256739","GSE51981","GPL570","35"
"GSM1256740","GSE51981","GPL570","60"
"GSM1256741","GSE51981","GPL570","36"
"GSM1256742","GSE51981","GPL570","37"
"GSM1256743","GSE51981","GPL570","61"
"GSM1256744","GSE51981","GPL570","38"
"GSM1256745","GSE51981","GPL570","39"
"GSM1256746","GSE51981","GPL570","62"
"GSM1256747","GSE51981","GPL570","63"
"GSM1256748","GSE51981","GPL570","40"
"GSM1256749","GSE51981","GPL570","64"
"GSM1256750","GSE51981","GPL570","65"
"GSM1256751","GSE51981","GPL570","50"
"GSM1256752","GSE51981","GPL570","51"
"GSM1256753","GSE51981","GPL570","41"
"GSM1256754","GSE51981","GPL570","42"
"GSM1256755","GSE51981","GPL570","66"
"GSM1256756","GSE51981","GPL570","43"
"GSM1256757","GSE51981","GPL570","67"
"GSM1256758","GSE51981","GPL570","68"
"GSM1256759","GSE51981","GPL570","44"
"GSM1256760","GSE51981","GPL570","45"
"GSM1256761","GSE51981","GPL570","46"
"GSM1256762","GSE51981","GPL570","47"
"GSM1256763","GSE51981","GPL570","48"
"GSM1256764","GSE51981","GPL570","52"
"GSM1256765","GSE51981","GPL570","53"
"GSM1256766","GSE51981","GPL570","29"
"GSM1256767","GSE51981","GPL570","30"
"GSM1256768","GSE51981","GPL570","31"
"GSM1256769","GSE51981","GPL570","32"
"GSM1256770","GSE51981","GPL570","9"
"GSM1256771","GSE51981","GPL570","10"
"GSM1256772","GSE51981","GPL570","11"
"GSM1256773","GSE51981","GPL570","148"
"GSM1256774","GSE51981","GPL570","86"
"GSM1256775","GSE51981","GPL570","99"
"GSM1256776","GSE51981","GPL570","87"
"GSM1256777","GSE51981","GPL570","116"
"GSM1256778","GSE51981","GPL570","84"
"GSM1256779","GSE51981","GPL570","101"
"GSM1256780","GSE51981","GPL570","146"
"GSM1256781","GSE51981","GPL570","147"
"GSM1256782","GSE51981","GPL570","117"
"GSM1256783","GSE51981","GPL570","70"
"GSM1256784","GSE51981","GPL570","12"
"GSM1256785","GSE51981","GPL570","13"
"GSM1256786","GSE51981","GPL570","14"
"GSM1256787","GSE51981","GPL570","26"
"GSM1256788","GSE51981","GPL570","15"
"GSM1256789","GSE51981","GPL570","69"
"GSM1256790","GSE51981","GPL570","54"
"GSM1256791","GSE51981","GPL570","33"
"GSM1256792","GSE51981","GPL570","55"
"GSM1256793","GSE51981","GPL570","16"
"GSM1256794","GSE51981","GPL570","49"
"GSM1256795","GSE51981","GPL570","71"
"GSM1256796","GSE51981","GPL570","17"
"GSM1256797","GSE51981","GPL570","34"
"GSM1256798","GSE51981","GPL570","18"
"GSM1256799","GSE51981","GPL570","19"
"GSM1256800","GSE51981","GPL570","20"
"GSM150190","GSE6364","GPL570","PE_D_26A"
"GSM150191","GSE6364","GPL570","PE_D_508"
"GSM150192","GSE6364","GPL570","PE_D_587"
"GSM150193","GSE6364","GPL570","PE_D_594"
"GSM150194","GSE6364","GPL570","PE_D_647"
"GSM150195","GSE6364","GPL570","PE_D_651"
"GSM150196","GSE6364","GPL570","PE_N_562"
"GSM150197","GSE6364","GPL570","PE_N_598"
"GSM150198","GSE6364","GPL570","PE_N_M165"
"GSM150199","GSE6364","GPL570","PE_N_M169"
"GSM150201","GSE6364","GPL570","PE_N_M182"
"GSM150202","GSE6364","GPL570","ESE_D_27A"
"GSM150203","GSE6364","GPL570","ESE_D_489"
"GSM150204","GSE6364","GPL570","ESE_D_496"
"GSM150205","GSE6364","GPL570","ESE_D_517"
"GSM150206","GSE6364","GPL570","ESE_D_575"
"GSM150207","GSE6364","GPL570","ESE_D_599"
"GSM150208","GSE6364","GPL570","ESE_N_629"
"GSM150209","GSE6364","GPL570","ESE_N_650"
"GSM150210","GSE6364","GPL570","ESE_N_664"
"GSM150211","GSE6364","GPL570","MSE_D_33A"
"GSM150212","GSE6364","GPL570","MSE_D_516"
"GSM150213","GSE6364","GPL570","MSE_D_540"
"GSM150214","GSE6364","GPL570","MSE_D_543"
"GSM150215","GSE6364","GPL570","MSE_D_645"
"GSM150216","GSE6364","GPL570","MSE_D_678"
"GSM150217","GSE6364","GPL570","MSE_D_97A"
"GSM150218","GSE6364","GPL570","MSE_D_G72A"
"GSM150219","GSE6364","GPL570","MSE_D_G73A"
"GSM150220","GSE6364","GPL570","MSE_N_610"
"GSM150221","GSE6364","GPL570","MSE_N_617"
"GSM150222","GSE6364","GPL570","MSE_N_626"
"GSM150223","GSE6364","GPL570","MSE_N_659"
"GSM150224","GSE6364","GPL570","MSE_N_G98A"
"GSM150225","GSE6364","GPL570","MSE_N_M153"
"GSM150226","GSE6364","GPL570","MSE_N_M158"
"GSM150227","GSE6364","GPL570","MSE_N_M163"
"GSM175766","GSE7305","GPL570","Endometrium/Ovary-Disease 1"
"GSM175767","GSE7305","GPL570","Endometrium/Ovary-Disease 2"
"GSM175768","GSE7305","GPL570","Endometrium/Ovary-Disease 3"
"GSM175769","GSE7305","GPL570","Endometrium/Ovary-Disease 4"
"GSM175770","GSE7305","GPL570","Endometrium/Ovary-Disease 5"
"GSM175771","GSE7305","GPL570","Endometrium/Ovary-Disease 6"
"GSM175772","GSE7305","GPL570","Endometrium/Ovary-Disease 7"
"GSM175773","GSE7305","GPL570","Endometrium/Ovary-Disease 8"
"GSM175774","GSE7305","GPL570","Endometrium/Ovary-Disease 9"
"GSM175775","GSE7305","GPL570","Endometrium/Ovary-Disease 10"
"GSM175776","GSE7305","GPL570","Endometrium-Normal 1"
"GSM175777","GSE7305","GPL570","Endometrium-Normal 2"
"GSM175778","GSE7305","GPL570","Endometrium-Normal 3"
"GSM175779","GSE7305","GPL570","Endometrium-Normal 4"
"GSM175780","GSE7305","GPL570","Endometrium-Normal 5"
"GSM175781","GSE7305","GPL570","Endometrium-Normal 6"
"GSM175782","GSE7305","GPL570","Endometrium-Normal 7"
"GSM175783","GSE7305","GPL570","Endometrium-Normal 8"
"GSM175784","GSE7305","GPL570","Endometrium-Normal 9"
"GSM175785","GSE7305","GPL570","Endometrium-Normal 10"
"GSM190395","GSE7846","GPL570","eutopic endometrium from patients with endometriosis, biological rep1"
"GSM190396","GSE7846","GPL570","eutopic endometrium from patients with endometriosis, biological rep2"
"GSM190397","GSE7846","GPL570","eutopic endometrium from patients with endometriosis, biological rep3"
"GSM190398","GSE7846","GPL570","eutopic endometrium from patients with endometriosis, biological rep4"
"GSM190399","GSE7846","GPL570","eutopic endometrium from patients with endometriosis, biological rep5"
"GSM190400","GSE7846","GPL570","eutopic endometrium from patients without endometriosis, biological rep1"
"GSM190401","GSE7846","GPL570","eutopic endometrium from patients without endometriosis, biological rep2"
"GSM190402","GSE7846","GPL570","eutopic endometrium from patients without endometriosis, biological rep3"
"GSM190403","GSE7846","GPL570","eutopic endometrium from patients without endometriosis, biological rep4"
"GSM190404","GSE7846","GPL570","eutopic endometrium from patients without endometriosis, biological rep5"
