"sample_id","dataset","platform","title","group"
"GSM572747","GSE23339","GPL6102","endometrioma, patient 19","Disease"
"GSM572748","GSE23339","GPL6102","endometrioma, patient 2","Disease"
"GSM572749","GSE23339","GPL6102","endometrioma, patient 6","Disease"
"GSM572750","GSE23339","GPL6102","endometrioma, patient 7","Disease"
"GSM572751","GSE23339","GPL6102","endometrioma, patient 9","Disease"
"GSM572752","GSE23339","GPL6102","control endometrium, patient 12","Control"
"GSM572753","GSE23339","GPL6102","control endometrium, patient 18","Control"
"GSM572754","GSE23339","GPL6102","control endometrium, patient 20","Control"
"GSM572755","GSE23339","GPL6102","control endometrium, patient 24","Control"
"GSM572756","GSE23339","GPL6102","control endometrium, patient 25","Control"
"GSM572757","GSE23339","GPL6102","control endometrium, patient 4","Control"
"GSM572758","GSE23339","GPL6102","endometrioma, patient M2","Disease"
"GSM572759","GSE23339","GPL6102","endometrioma, patient M3","Disease"
"GSM572760","GSE23339","GPL6102","endometrioma, patient M4","Disease"
"GSM572761","GSE23339","GPL6102","control endometrium, patient 1","Control"
"GSM572762","GSE23339","GPL6102","control endometrium, patient 3","Control"
"GSM572763","GSE23339","GPL6102","endometrioma, patient M1","Disease"
"GSM572764","GSE23339","GPL6102","control endometrium, patient 32","Control"
"GSM572765","GSE23339","GPL6102","endometrioma, patient 14","Disease"
"GSM1256653","GSE51981","GPL570","123","Disease"
"GSM1256654","GSE51981","GPL570","118","Disease"
"GSM1256655","GSE51981","GPL570","103","Disease"
"GSM1256656","GSE51981","GPL570","132","Disease"
"GSM1256657","GSE51981","GPL570","119","Disease"
"GSM1256658","GSE51981","GPL570","133","Disease"
"GSM1256659","GSE51981","GPL570","134","Disease"
"GSM1256660","GSE51981","GPL570","104","Disease"
"GSM1256661","GSE51981","GPL570","121","Disease"
"GSM1256662","GSE51981","GPL570","135","Disease"
"GSM1256663","GSE51981","GPL570","108","Disease"
"GSM1256664","GSE51981","GPL570","109","Disease"
"GSM1256665","GSE51981","GPL570","136","Disease"
"GSM1256666","GSE51981","GPL570","102","Disease"
"GSM1256667","GSE51981","GPL570","122","Disease"
"GSM1256668","GSE51981","GPL570","137","Disease"
"GSM1256669","GSE51981","GPL570","138","Disease"
"GSM1256670","GSE51981","GPL570","139","Disease"
"GSM1256671","GSE51981","GPL570","140","Disease"
"GSM1256672","GSE51981","GPL570","94","Disease"
"GSM1256673","GSE51981","GPL570","110","Disease"
"GSM1256674","GSE51981","GPL570","95","Disease"
"GSM1256675","GSE51981","GPL570","90","Disease"
"GSM1256676","GSE51981","GPL570","141","Disease"
"GSM1256677","GSE51981","GPL570","89","Disease"
"GSM1256678","GSE51981","GPL570","105","Disease"
"GSM1256679","GSE51981","GPL570","106","Disease"
"GSM1256680","GSE51981","GPL570","107","Disease"
"GSM1256681","GSE51981","GPL570","120","Disease"
"GSM1256682","GSE51981","GPL570","78","Disease"
"GSM1256683","GSE51981","GPL570","100","Disease"
"GSM1256684","GSE51981","GPL570","79","Disease"
"GSM1256685","GSE51981","GPL570","72","Disease"
"GSM1256686","GSE51981","GPL570","82","Disease"
"GSM1256687","GSE51981","GPL570","124","Disease"
"GSM1256688","GSE51981","GPL570","91","Disease"
"GSM1256689","GSE51981","GPL570","80","Disease"
"GSM1256690","GSE51981","GPL570","96","Disease"
"GSM1256691","GSE51981","GPL570","73","Disease"
"GSM1256692","GSE51981","GPL570","92","Disease"
"GSM1256693","GSE51981","GPL570","74","Disease"
"GSM1256694","GSE51981","GPL570","97","Disease"
"GSM1256695","GSE51981","GPL570","125","Disease"
"GSM1256696","GSE51981","GPL570","130","Disease"
"GSM1256697","GSE51981","GPL570","142","Disease"
"GSM1256698","GSE51981","GPL570","81","Disease"
"GSM1256699","GSE51981","GPL570","111","Disease"
"GSM1256700","GSE51981","GPL570","98","Disease"
"GSM1256701","GSE51981","GPL570","126","Disease"
"GSM1256702","GSE51981","GPL570","75","Disease"
"GSM1256703","GSE51981","GPL570","113","Disease"
"GSM1256704","GSE51981","GPL570","143","Disease"
"GSM1256705","GSE51981","GPL570","85","Disease"
"GSM1256706","GSE51981","GPL570","76","Disease"
"GSM1256707","GSE51981","GPL570","114","Disease"
"GSM1256708","GSE51981","GPL570","88","Disease"
"GSM1256709","GSE51981","GPL570","112","Disease"
"GSM1256710","GSE51981","GPL570","131","Disease"
"GSM1256711","GSE51981","GPL570","144","Disease"
"GSM1256712","GSE51981","GPL570","127","Disease"
"GSM1256713","GSE51981","GPL570","83","Disease"
"GSM1256714","GSE51981","GPL570","145","Disease"
"GSM1256715","GSE51981","GPL570","93","Disease"
"GSM1256716","GSE51981","GPL570","128","Disease"
"GSM1256717","GSE51981","GPL570","129","Disease"
"GSM1256718","GSE51981","GPL570","77","Disease"
"GSM1256719","GSE51981","GPL570","115","Disease"
"GSM1256720","GSE51981","GPL570","1","Control"
"GSM1256721","GSE51981","GPL570","21","Control"
"GSM1256722","GSE51981","GPL570","2","Control"
"GSM1256723","GSE51981","GPL570","3","Control"
