"sample_id","dataset","platform","title"
"GSM5024320","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_1"
"GSM5024321","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_2"
"GSM5024322","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_3"
"GSM5024323","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_4"
"GSM5024324","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_5"
"GSM5024325","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_6"
"GSM5024326","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_7"
"GSM5024327","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_8"
"GSM5024328","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_9"
"GSM5024329","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_10"
"GSM5024330","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_11"
"GSM5024331","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_12"
"GSM5024332","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_13"
"GSM5024333","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_14"
"GSM5024334","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_15"
"GSM5024335","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_16"
"GSM5024336","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_17"
"GSM5024337","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_18"
"GSM5024338","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_19"
"GSM5024339","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_20"
"GSM5024340","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_21"
"GSM5024341","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_22"
"GSM5024342","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_23"
"GSM5024343","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_24"
"GSM5024344","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_1"
"GSM5024345","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_2"
"GSM5024346","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_3"
"GSM5024347","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_4"
"GSM5024348","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_5"
"GSM5024349","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_6"
"GSM5024350","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_7"
"GSM5024351","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_8"
"GSM5024352","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_9"
"GSM5024353","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_10"
"GSM5024354","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_11"
"GSM5024355","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_12"
"GSM5024356","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_13"
"GSM5024357","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_14"
"GSM5024358","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_15"
"GSM5024359","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_16"
"GSM5024360","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_17"
"GSM5024361","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_18"
"GSM5024362","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_19"
"GSM5024363","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_20"
"GSM5024364","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_21"
"GSM5024365","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_22"
"GSM5024366","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_23"
"GSM5024367","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_24"
"GSM5024368","GSE165004","GPL16699","Endometrial_Tissue_Fertile_UIF_1"
"GSM5024369","GSE165004","GPL16699","Endometrial_Tissue_Fertile_UIF_2"
"GSM5024370","GSE165004","GPL16699","Endometrial_Tissue_Fertile_UIF_3"
"GSM5024371","GSE165004","GPL16699","Endometrial_Tissue_Fertile_UIF_4"
"GSM5024372","GSE165004","GPL16699","Endometrial_Tissue_Fertile_UIF_5"
"GSM5024373","GSE165004","GPL16699","Endometrial_Tissue_Fertile_UIF_6"
"GSM5024374","GSE165004","GPL16699","Endometrial_Tissue_Fertile_UIF_7"
"GSM5024375","GSE165004","GPL16699","Endometrial_Tissue_Fertile_UIF_8"
