"sample_id","dataset","platform","title","group"
"GSM5024320","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_1","Control"
"GSM5024321","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_2","Control"
"GSM5024322","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_3","Control"
"GSM5024323","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_4","Control"
"GSM5024324","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_5","Control"
"GSM5024325","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_6","Control"
"GSM5024326","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_7","Control"
"GSM5024327","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_8","Control"
"GSM5024328","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_9","Control"
"GSM5024329","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_10","Control"
"GSM5024330","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_11","Control"
"GSM5024331","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_12","Control"
"GSM5024332","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_13","Control"
"GSM5024333","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_14","Control"
"GSM5024334","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_15","Control"
"GSM5024335","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_16","Control"
"GSM5024336","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_17","Control"
"GSM5024337","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_18","Control"
"GSM5024338","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_19","Control"
"GSM5024339","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_20","Control"
"GSM5024340","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_21","Control"
"GSM5024341","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_22","Control"
"GSM5024342","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_23","Control"
"GSM5024343","GSE165004","GPL16699","Endometrial_Tissue_Fertile_Control_24","Control"
"GSM5024344","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_1","Disease"
"GSM5024345","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_2","Disease"
"GSM5024346","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_3","Disease"
"GSM5024347","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_4","Disease"
"GSM5024348","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_5","Disease"
"GSM5024349","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_6","Disease"
"GSM5024350","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_7","Disease"
"GSM5024351","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_8","Disease"
"GSM5024352","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_9","Disease"
"GSM5024353","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_10","Disease"
"GSM5024354","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_11","Disease"
"GSM5024355","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_12","Disease"
"GSM5024356","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_13","Disease"
"GSM5024357","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_14","Disease"
"GSM5024358","GSE165004","GPL16699","Endometrial_Tissue_Fertile_RPL_15","Disease"
